YEAR,QUARTER,PARK,BOROUGH,SIZE (ACRES),MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2014,4,ASSER LEVY PARK,BROOKLYN     ,21.039,0,0,0,0,0,0,0,0
2014,4,SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,20.907,0,0,0,0,0,0,0,0
2014,4,WAVE HILL,BRONX        ,20.867,0,0,0,0,0,0,0,0
2014,4,QUEENSBRIDGE PARK,QUEENS       ,20.340,0,0,0,0,0,0,0,0
2014,4,MARCUS GARVEY PARK,MANHATTAN    ,20.165,0,0,2,0,0,3,0,5
2014,4,ISHAM PARK,MANHATTAN    ,20.132,0,0,0,0,0,0,0,0
2014,4,WILLIAMSBRIDGE OVAL,BRONX        ,19.749,0,0,1,0,0,0,0,1
2014,4,BRANT POINT WILDLIFE SANCTUARY,QUEENS       ,19.556,0,0,0,0,0,0,0,0
2014,4,BROAD CHANNEL AMERICAN PARK,QUEENS       ,18.768,0,0,0,0,0,0,0,0
2014,4,THEODORE ROOSEVELT PARK,MANHATTAN    ,17.574,0,0,0,0,0,0,0,0
2014,4,BENSONHURST PARK,BROOKLYN     ,17.500,0,0,0,0,0,0,0,0
2014,4,LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN     ,17.140,0,0,4,0,0,0,0,4
2014,4,JOHN GOLDEN PARK,QUEENS       ,17.000,0,0,0,0,0,0,0,0
2014,4,BAYVIEW TERRACE PARK,STATEN ISLAND,16.944,0,0,0,0,0,0,0,0
2014,4,JONES WOODS PARK,STATEN ISLAND,16.930,0,0,0,0,0,0,0,0
2014,4,FRANCIS LEWIS PARK,QUEENS       ,16.831,0,0,0,0,0,0,0,0
2014,4,LEIF ERICSON PARK,BROOKLYN     ,16.800,0,0,0,0,0,0,0,0
2014,4,EIBS POND PARK,STATEN ISLAND,16.505,0,0,0,0,0,0,0,0
2014,4,RAILROAD PARK QUEENS,QUEENS       ,16.439,0,0,0,0,0,0,0,0
2014,4,BREUKELEN BALLFIELDS,BROOKLYN     ,16.160,0,0,0,0,0,0,0,0
2014,4,FRANZ SIGEL PARK,BRONX        ,15.990,0,0,1,1,0,0,0,2
2014,4,ALICE AUSTEN PARK,STATEN ISLAND,15.524,0,0,0,0,0,0,0,0
2014,4,THOMAS JEFFERSON PARK,MANHATTAN    ,15.524,0,0,0,0,0,1,0,1
2014,4,MILL POND PARK,BRONX        ,15.496,0,0,0,0,0,0,0,0
2014,4,SHERMAN CREEK,MANHATTAN    ,15.383,0,0,0,0,0,0,0,0
